id,semester,slot_start_date,slot_end_date,location_ar,location_en,slots,type,show,display_order
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 23,Building: 58 - Room: 23,20,ENGLISH_SPEAKING_TEST,1,100
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 25,Building: 58 - Room: 25,20,ENGLISH_SPEAKING_TEST,1,110
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 27,Building: 58 - Room: 27,20,ENGLISH_SPEAKING_TEST,1,120
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 29,Building: 58 - Room: 29,20,ENGLISH_SPEAKING_TEST,1,130
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 31,Building: 58 - Room: 31,20,ENGLISH_SPEAKING_TEST,1,140
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 32,Building: 58 - Room: 32,20,ENGLISH_SPEAKING_TEST,1,150
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 33,Building: 58 - Room: 33,20,ENGLISH_SPEAKING_TEST,1,160
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 34,Building: 58 - Room: 34,20,ENGLISH_SPEAKING_TEST,1,170
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 35,Building: 58 - Room: 35,20,ENGLISH_SPEAKING_TEST,1,180
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 37,Building: 58 - Room: 37,20,ENGLISH_SPEAKING_TEST,1,190
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 39,Building: 58 - Room: 39,20,ENGLISH_SPEAKING_TEST,1,200
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 41,Building: 58 - Room: 41,20,ENGLISH_SPEAKING_TEST,1,210
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 43,Building: 58 - Room: 43,20,ENGLISH_SPEAKING_TEST,1,220
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1037,Building: 58 - Room: 1037,20,ENGLISH_SPEAKING_TEST,1,230
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1039,Building: 58 - Room: 1039,20,ENGLISH_SPEAKING_TEST,1,240
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1045,Building: 58 - Room: 1045,20,ENGLISH_SPEAKING_TEST,1,250
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1046,Building: 58 - Room: 1046,20,ENGLISH_SPEAKING_TEST,1,260
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1047,Building: 58 - Room: 1047,20,ENGLISH_SPEAKING_TEST,1,270
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1048,Building: 58 - Room: 1048,20,ENGLISH_SPEAKING_TEST,1,280
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1049,Building: 58 - Room: 1049,20,ENGLISH_SPEAKING_TEST,1,290
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1051,Building: 58 - Room: 1051,20,ENGLISH_SPEAKING_TEST,1,300
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1053,Building: 58 - Room: 1053,20,ENGLISH_SPEAKING_TEST,1,310
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1055,Building: 58 - Room: 1055,20,ENGLISH_SPEAKING_TEST,1,320
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1057,Building: 58 - Room: 1057,20,ENGLISH_SPEAKING_TEST,1,330
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 1059,Building: 58 - Room: 1059,20,ENGLISH_SPEAKING_TEST,1,340
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2041,Building: 58 - Room: 2041,20,ENGLISH_SPEAKING_TEST,1,350
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2043,Building: 58 - Room: 2043,20,ENGLISH_SPEAKING_TEST,1,360
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2047,Building: 58 - Room: 2047,20,ENGLISH_SPEAKING_TEST,1,370
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2048,Building: 58 - Room: 2048,20,ENGLISH_SPEAKING_TEST,1,380
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2049,Building: 58 - Room: 2049,20,ENGLISH_SPEAKING_TEST,1,390
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2050,Building: 58 - Room: 2050,20,ENGLISH_SPEAKING_TEST,1,400
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2051,Building: 58 - Room: 2051,20,ENGLISH_SPEAKING_TEST,1,410
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2053,Building: 58 - Room: 2053,20,ENGLISH_SPEAKING_TEST,1,420
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2057,Building: 58 - Room: 2057,20,ENGLISH_SPEAKING_TEST,1,430
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2059,Building: 58 - Room: 2059,20,ENGLISH_SPEAKING_TEST,1,440
,1,2017-09-12 13:00:00,2017-09-12 16:20:00,مبنى: 58 - قاعة: 2061,Building: 58 - Room: 2061,20,ENGLISH_SPEAKING_TEST,1,450
